10000,25
11000,1397
12000,2140
13000,2968
14000,3866
15000,4827
16000,5849
17000,6912
18000,8010
19000,9158
20000,10323
21000,11513
22000,12725
23000,13937
24000,15179
25000,16425
26000,17673
27000,18945
28000,20214
29000,21479
30000,22747
31000,24014
32000,25279
33000,26482
34000,27796
35000,29031
36000,30243
37000,31544
38000,32733
39000,33991
40000,35228
41000,36439
42000,37630
43000,38839
44000,40036
45000,41262
46000,42371
47000,43599
48000,44794
49000,45896
50000,47116
51000,48245
52000,49350
53000,50548
54000,51671
55000,52730
56000,53910
57000,55050
58000,56141
59000,57184
60000,58363
61000,59453
62000,60518
63000,61597
64000,62709
65000,63795
66000,64850
67000,65890
68000,66963
69000,68065
70000,69122
71000,70150
72000,71179
73000,72269
74000,73331
75000,74378
76000,75408
77000,76418
78000,77463
79000,78520
80000,79567
81000,80593
82000,81607
83000,82619
84000,83661
85000,84702
86000,85730
87000,86749
88000,87761
89000,88765
90000,89792
91000,90821
92000,91842
93000,92855
94000,93863
95000,94864
96000,95872
97000,96899
98000,97919
99000,98930
